통계 년도,통계 코드,컬럼 명,컬럼 영문명,전체 척 수,전체 톤수,전체 마력,동력 척 수,동력 톤수,동력 마력,무동력 척 수,무동력 톤수,최초 생성 시점,최종 변경 시점
2017,2150,  - 잠    수    기      어    업,Diving,235,1252.99,118134,235,1252.99,118134,0,0,2018-12-21,2018-12-21
2017,2030,  - 동해구 기 선 저 인 망  어 업,Eastern Sea Danish Seine,36,1872.63,17360,36,1872.63,17360,0,0,2018-12-21,2018-12-21
2017,2020,  - 대형기선 저인망 어업(쌍끌이),Trawl Large(Two Boat),73,8487,95952,73,8487,95952,0,0,2018-12-21,2018-12-21
2017,2010,  - 대형기선 저인망 어업(외끌이),Trawl Large(One Boat),46,2997.47,30609,46,2997.47,30609,0,0,2018-12-21,2018-12-21
2017,2000,근       해         어      업,Off-Shore Fisheries,2730,130148.33,1939944,2730,130148.33,1939944,0,0,2018-12-21,2018-12-21
2017,1990,  - 기   타   원   양    어   업,Others,0,0,0,0,0,0,0,0,2018-12-21,2018-12-21
2017,1070,  - 원   양   통   발    어   업,Distant Waters Trap,1,60,480,1,60,480,0,0,2018-12-21,2018-12-21
2017,1060,  - 원  양  채  낚  기   어   업,Distant Waters Angling,30,13213.44,45970,30,13213.44,45970,0,0,2018-12-21,2018-12-21
2017,1050,  - 원  양  봉  수  망   어   업,Distant Waters Stick-held Dip Net,8,4147.46,13050,8,4147.46,13050,0,0,2018-12-21,2018-12-21
2017,1040,  - 원  양  유  자  망   어   업,Distant Waters Floating Gill Net,0,0,0,0,0,0,0,0,2018-12-21,2018-12-21
2017,1030,  - 원   양   선   망    어   업,Distant Waters Purse Seines,34,38061,131401,34,38061,131401,0,0,2018-12-21,2018-12-21
2017,1020,  - 원   양   트   롤    어   업,Otter Trawl,17,27598.63,51720,17,27598.63,51720,0,0,2018-12-21,2018-12-21
2017,1010,  - 원   양   연   승    어   업,Long Line,123,51498,144261,123,51498,144261,0,0,2018-12-21,2018-12-21
2017,1000,원       양        어       업,Distant Waters Angling,213,134578.53,386882,213,134578.53,386882,0,0,2018-12-21,2018-12-21
2017,0,총                          계,Total,66736,512060.39,15047635,65846,510960.39,15047635,890,1100,2018-12-21,2018-12-21
2017,2160,  - 근   해   통   발    어   업,Off-Shore Trap,189,10912.59,146346,189,10912.59,146346,0,0,2018-12-21,2018-12-21
2017,2170,  - 근   해   형   망    어   업,Off-Shore Dredge Net,71,780.3,36808,71,780.3,36808,0,0,2018-12-21,2018-12-21
2017,6990,  - 기                        타,Others,2525,11181.38,380770,2416,11024.13,380770,109,157.25,2018-12-21,2018-12-21
2017,6030,  - 시   험   및    교   습   선,Experiment & Education Boats,46,11385,44961,46,11385,44961,0,0,2018-12-21,2018-12-21
2017,6020,  - 지    도      단    속    선,Patrol Boats,154,27504.22,160686,153,27503.66,160686,1,0.56,2018-12-21,2018-12-21
2017,6010,  - 어   획   물    운   반   선,Fish Carrier,354,25349.69,205883,354,25349.69,205883,0,0,2018-12-21,2018-12-21
2017,6000,기       타        어       업,Others,3079,75420.29,792300,2969,75262.48,792300,110,157.81,2018-12-21,2018-12-21
2017,5010,  - 내    수    면     어     업,Inland Waters Fisheries,3012,1931.04,183751,2699,1854.57,183751,313,76.47,2018-12-21,2018-12-21
2017,5000,내     수     면     어     업,Inland Waters Fisheries,3012,1931.04,183751,2699,1854.57,183751,313,76.47,2018-12-21,2018-12-21
2017,4010,  - 천      해        양      식,Shallow Sea Culture,18095,51266.29,3148252,18029,51147.51,3148252,66,118.78,2018-12-21,2018-12-21
2017,4000,양            식            업,Culture,18095,51266.29,3148252,18029,51147.51,3148252,66,118.78,2018-12-21,2018-12-21
2017,3990,  - 연      안        기      타,Coastal Others,52,267.15,15502,51,260.48,15502,1,6.67,2018-12-21,2018-12-21
2017,3140,  - 정    치    망     어     업,Set Nets,594,5357.16,142922,536,5244.05,142922,58,113.11,2018-12-21,2018-12-21
2017,3130,  - 구  획  어  업  (이  동  성),Sectional Fishery(Non-Setting),451,1040.92,86316,416,1009.99,86316,35,30.93,2018-12-21,2018-12-21
2017,3120,  - 구  획  어  업  (정  치  성),Sectional Fishery(Setting),1959,5823.36,417865,1917,5768.8,417865,42,54.56,2018-12-21,2018-12-21
2017,3110,  - 연   안   복   합    어   업,Coastal Muiti Fishery,18115,47456.5,3588079,17962,47191.95,3588079,153,264.55,2018-12-21,2018-12-21
2017,2180,  - 근   해   연   승    어   업,Off-Shore Long Line,296,8939.97,195536,296,8939.97,195536,0,0,2018-12-21,2018-12-21
2017,3000,연       안        어       업,Coastal Fisheries,39607,118715.91,8596506,39206,117968.97,8596506,401,746.94,2018-12-21,2018-12-21
2017,3010,  - 연  안   유  자  망   어  업,Coastal Gill Net,12835,39493.47,2937963,12753,39307.32,2937963,82,186.15,2018-12-21,2018-12-21
2017,3020,  - 연  안   안  강  망   어  업,Coastal Stow Net,393,3017.84,182949,393,3017.84,182949,0,0,2018-12-21,2018-12-21
2017,3030,  - 연   안   형   망    어   업,Coastal Dredge Nets,0,0,0,0,0,0,0,0,2018-12-21,2018-12-21
2017,3040,  - 연   안   선   망    어   업,Coastal Purse Seines,286,1870.94,112307,279,1853.73,112307,7,17.21,2018-12-21,2018-12-21
2017,3050,  - 연   안   연   승    어   업,Coastal Long Line,0,0,0,0,0,0,0,0,2018-12-21,2018-12-21
2017,3060,  - 연  안   채  낚  기   어  업,Coastal Angling,0,0,0,0,0,0,0,0,2018-12-21,2018-12-21
2017,3070,  - 연   안   통   발    어   업,Coastal Trap,4760,13622.63,1066868,4738,13549.75,1066868,22,72.88,2018-12-21,2018-12-21
2017,3080,  - 연   안   들   망    어   업,Coastal Lift Nets,98,466.69,28345,98,466.69,28345,0,0,2018-12-21,2018-12-21
2017,3090,  - 연   안   조   망    어   업,Coastal Beam Trawl,36,122.57,7955,35,121.69,7955,1,0.88,2018-12-21,2018-12-21
2017,3100,  - 연  안   선  인  망   어  업,Coastal Drag Nets,28,176.68,9435,28,176.68,9435,0,0,2018-12-21,2018-12-21
1992,3110,  연   안   복   합    어   업,Coastal Muiti Fishery,0,0,0,0,0,0,0,0,2017-12-02,2017-12-02
1992,3130,  구  획  어  업  (이  동  성),Sectional Fishery(Non-Setting),23,48.69,499,10,31.85,499,13,16.84,2017-12-02,2017-12-02
2013,1990,  기   타   원   양    어   업,Others,7,2800.94,8600,7,2800.94,8600,0,0,2017-12-02,2017-12-02
2013,2000,근       해         어      업,Off-Shore Fisheries,2780,126340.6,1777286,2780,126340.6,1777286,0,0,2017-12-02,2017-12-02
2013,2010,  대형기선 저인망 어업(외끌이),Trawl Large(One Boat),47,3179.11,29473,47,3179.11,29473,0,0,2017-12-02,2017-12-02
2013,2020,  대형기선 저인망 어업(쌍끌이),Trawl Large(Two Boat),72,8464,88657,72,8464,88657,0,0,2017-12-02,2017-12-02
2013,2030,  동해구 기 선 저 인 망  어 업,Eastern Sea Danish Sein,38,2208.51,16588,38,2208.51,16588,0,0,2017-12-02,2017-12-02
2013,2040,  중형기선 저인망 어업(외끌이),Trawl Medium(One Boat),39,1847.58,17704,39,1847.58,17704,0,0,2017-12-02,2017-12-02
2013,2050,  중형기선 저인망 어업(쌍끌이),Trawl Medium(Two Boat),18,1022,6626,18,1022,6626,0,0,2017-12-02,2017-12-02
2013,2060,  대   형   트   롤    어   업,Large Otter Trawl,52,7215,76275,52,7215,76275,0,0,2017-12-02,2017-12-02
2013,2070,  동  해  구  트  롤   어   업,Estern Sea Trawl,38,2039,44400,38,2039,44400,0,0,2017-12-02,2017-12-02
2013,2080,  대   형   선   망    어   업,Large Powered Purse Seines,143,22834.2,198771,143,22834.2,198771,0,0,2017-12-02,2017-12-02
2013,2090,  소   형   선   망    어   업,Small Powered Purse Seines,72,1001.56,36361,72,1001.56,36361,0,0,2017-12-02,2017-12-02
