vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
0a40e4848-8f45-ce6c-1d61-6b116ccf6501,K OCEAN,,2,
0a42f9d81-122d-9b5b-633c-05ee25811ee6,HAINGBOK,,508,행복
0a49ad5b7-7f31-3b8d-f593-6170a963ec3a,BUGYUNG,,37,부경
0a5166e6c-c70f-088d-e632-21e3552c9e17,SAIAN,,,사이안
0a5e12767-798e-d815-9ef0-9581e97eb926,YEONGSHIN,,2,영신
0a708dac9-96af-d51f-e567-7e5f16adb3a2,KYEONG PO,203호,,경포
0a7e2d693-3cc6-11c1-da77-256a6a1194a5,GANGJEON,,,강전
0a8ef57fa-a9c6-4ece-3b34-c218532a1308,WOOJIN,630호,,우진
0a9c2d4bb-b8d2-db0d-610d-3963455769b2,HAE RYONG,,,해룡 | 해용
0abf4a6a7-756e-bac2-014a-e9a971c31704,WON YANG,,,원양 | 원향
0ac8b3b92-2232-0366-c10c-42237fbecf56,YU BIN,,,유빈
0acda063f-f745-6843-31a3-5dfd10fd6d17,JIN JU,,2022,진주
0acfa3257-78bb-a348-762d-531075c857a2,JJANG GOO FISHING,,,
0adada214-492f-1bab-8652-8991a5903e38,POSEIDON,,,
0ae578f0a-a014-41b7-b446-2fce3c5a93c2,KEUM HWA,,16,금화
0b085cc45-55d6-4f8f-f461-cd5a88b94116,NAM SEONG,,2020,남성
0b13423ed-d284-e156-ff57-077376cf2a64,SIN DAE JOON,,,신대준 | 신대조온
0b1c4c07d-dd4c-1101-c76b-4cee0c3fabc3,MYUNG SUNG,,,명성 | 명승 | 명숭
0b1f94bdd-d2a0-04f4-b28e-5cbf3a73177a,SUNRIZE,,,
0b20d6c3b-b0dd-777e-0354-dc8fd65f823c,BU MIN,,108,부민
0b52697a0-04ad-ebf7-a8fc-9e72573eb231,SE JIN,8호,,세진
0b5b97fb6-6933-273c-5415-f14347566f4f,HYEON DAE,,,현대
0b674fd1f-f363-87dc-bb17-6a33bef0695e,TTUNG SEU,,,뚱스
0b6f12970-0bcb-7af7-791e-6f7bd816b827,HWASUNG,,,화성 | 화승 | 화숭
0b71da733-32a2-ec9c-7c65-4b3c3f23807f,PALPO,1호,,
0b784bcab-b999-45c8-35fe-485ab8249e4a,IL KWANG,,,일광
0b84f3aef-f310-69f7-2d63-ea796d7c45cd,SEONG BOK,,,성복
0b8d1e8db-b5f0-e62e-c38c-2f3f5a1a84fc,DONG IL,,1,동일
0b9ab84ea-a59b-4854-d3e9-1b1fe2b9834c,MAN SEONG,2호,,만성
0ba3ccdd8-8d10-6662-e848-038ca0819133,MUYA,,,무야
0bc3c8702-2669-52fb-5c7e-543a5fae63b7,DUK SUNG,77호,,덕성 | 덕승 | 덕숭
0bc692c37-7503-cc24-8017-cfa258970c78,BAEK YANG,,306,백양 | 백향
0bca04441-1c9e-dd40-ad5f-a1d71772e710,DAE YEONG,2호,,대영
0bcc8b754-438b-9052-ade9-87bbe1e12787,GU LYONG,,,구룡
0be972204-411c-96ee-6840-735fbb63508e,WOORI,5호,,우리
0bfe9a76e-ec1b-68be-08f0-db4f7979f2b5,GYEONG CHWUN,,,
0c062a1c3-3bf3-ec74-9f5e-34be931d62de,BOHAE,,306,보해
0c249808a-a9cc-f01d-a91a-e3b9fdff5a17,SU SEONG,,,수성
0c25bbf53-3cc8-621d-5090-aa7a835846f7,HAE CHANG,,,해창
0c2a12a6d-d2a2-3edd-62ce-183b4c238a5c,HAE SUNG,3호,,해성 | 해승 | 해숭
0c32bcb24-4b1a-f521-6d6e-6cdb028b8e9d,SU JEONG,,,수정
0c55bca72-29ed-b0f6-c586-f6a089d180d0,CHIL GOK,,,
0c7290d22-2cf8-490a-717c-4750c2e113ae,NAMGWANG,,,남광
0c87f42e9-95da-5ff1-ab3b-5ca430de43b2,BADA,1호,,바다
0c912612b-bec9-e0fb-af7e-e7d52e7d2304,BONAMI,,,보남이 | 보나미
0c9126141-19fd-9b05-df71-98ed14e1b3b9,TAE YANG,,,태양
0c98f8516-6706-b48d-ac25-87e0b1345664,DONGMYEONG,,,동명
0cacc6448-83a2-a5ef-0935-7af0f3d45d28,ORYONG NO.,,717,오룡
0cbc11257-721f-ee2d-6b6d-67fa3309362a,YEON AN,,,연안
0cc25dfb2-2d12-2ff4-54dc-7972265570b7,BONGYANG,,3,봉양
0cc8594e9-9192-a9fb-9b36-c227bae658dd,HAE JEONG,,2,해정
0ce15602c-c31f-4a8b-7322-501accbb28f2,ESTHER,,,
0ce648140-040a-553a-8faf-f38a13b26459,KYEOL SEONG,,,결성
0ce80bb6e-e2f0-4c57-043c-f6f8f3e4008f,JEONG SEON,,,정선
